Date,China,India,US,EU,Russia,Japan,Brazil,ROW,World
12/05/2019,2.42,0.52,3.52,1.89,0.51,0.49,0.46,5.11,14.91
13/05/2019,2.50,0.80,4.55,2.39,0.69,0.53,0.57,6.25,18.27
14/05/2019,2.51,0.80,5.26,2.69,0.69,0.53,0.57,6.60,19.66
15/05/2019,2.51,0.81,5.35,2.68,0.69,0.53,0.58,6.64,19.77
16/05/2019,2.51,0.80,5.38,2.70,0.69,0.53,0.58,6.60,19.80
17/05/2019,2.55,0.81,5.40,2.69,0.70,0.54,0.58,6.28,19.56
18/05/2019,2.48,0.78,4.75,2.24,0.62,0.53,0.55,5.72,17.66
19/05/2019,2.42,0.70,3.56,1.86,0.53,0.49,0.44,5.01,14.99
20/05/2019,2.50,0.80,4.59,2.40,0.69,0.53,0.56,6.01,18.08
21/05/2019,2.51,0.81,5.27,2.69,0.69,0.53,0.57,6.47,19.55
22/05/2019,2.51,0.80,5.33,2.67,0.69,0.53,0.58,6.49,19.60
23/05/2019,2.51,0.79,5.37,2.69,0.69,0.53,0.58,6.58,19.75
24/05/2019,2.55,0.80,5.41,2.69,0.70,0.54,0.58,6.27,19.54
25/05/2019,2.48,0.79,4.62,2.23,0.62,0.53,0.55,5.70,17.51
26/05/2019,2.42,0.72,3.37,1.88,0.52,0.49,0.44,5.06,14.89
27/05/2019,2.50,0.80,3.93,2.35,0.69,0.53,0.57,5.95,17.31
28/05/2019,2.51,0.80,5.11,2.66,0.69,0.53,0.58,6.52,19.40
29/05/2019,2.51,0.80,5.32,2.70,0.69,0.53,0.58,6.57,19.71
30/05/2019,2.51,0.80,5.36,2.45,0.69,0.53,0.58,6.43,19.35
31/05/2019,2.55,0.80,5.42,2.63,0.70,0.54,0.58,6.12,19.34
01/06/2019,2.48,0.79,4.73,2.20,0.61,0.53,0.55,5.59,17.47
02/06/2019,2.42,0.71,3.52,1.90,0.50,0.49,0.45,4.75,14.72
03/06/2019,2.50,0.79,4.57,2.40,0.69,0.53,0.57,5.67,17.72
04/06/2019,2.51,0.80,5.27,2.66,0.69,0.53,0.58,5.74,18.77
05/06/2019,2.51,0.72,5.35,2.68,0.69,0.53,0.58,6.07,19.13
06/06/2019,2.51,0.79,5.36,2.68,0.69,0.53,0.58,6.04,19.19
07/06/2019,2.55,0.79,5.26,2.57,0.69,0.54,0.52,5.55,18.47
08/06/2019,2.48,0.79,4.73,2.20,0.61,0.53,0.55,5.59,17.47
09/06/2019,2.42,0.71,3.52,1.90,0.50,0.49,0.45,4.75,14.72
10/06/2019,2.50,0.79,4.57,2.40,0.69,0.53,0.57,5.67,17.72
11/06/2019,2.51,0.80,5.27,2.66,0.69,0.53,0.58,5.74,18.77
12/06/2019,2.51,0.72,5.35,2.68,0.69,0.53,0.58,6.07,19.13
13/06/2019,2.51,0.79,5.36,2.68,0.69,0.53,0.58,6.04,19.19
14/06/2019,2.55,0.79,5.26,2.57,0.69,0.54,0.52,5.55,18.47
15/06/2019,2.48,0.79,4.73,2.20,0.61,0.53,0.55,5.59,17.47
16/06/2019,2.42,0.71,3.52,1.90,0.50,0.49,0.45,4.75,14.72
17/06/2019,2.50,0.79,4.57,2.40,0.69,0.53,0.57,5.67,17.72
18/06/2019,2.51,0.80,5.27,2.66,0.69,0.53,0.58,5.74,18.77
19/06/2019,2.51,0.72,5.35,2.68,0.69,0.53,0.58,6.07,19.13
20/06/2019,2.51,0.79,5.36,2.68,0.69,0.53,0.58,6.04,19.19
21/06/2019,2.55,0.79,5.26,2.57,0.69,0.54,0.52,5.55,18.47
22/06/2019,2.48,0.79,4.73,2.20,0.61,0.53,0.55,5.59,17.47
23/06/2019,2.42,0.71,3.52,1.90,0.50,0.49,0.45,4.75,14.72
24/06/2019,2.50,0.79,4.57,2.40,0.69,0.53,0.57,5.67,17.72
25/06/2019,2.51,0.80,5.27,2.66,0.69,0.53,0.58,5.74,18.77
26/06/2019,2.51,0.72,5.35,2.68,0.69,0.53,0.58,6.07,19.13
27/06/2019,2.51,0.79,5.36,2.68,0.69,0.53,0.58,6.04,19.19
28/06/2019,2.55,0.79,5.26,2.57,0.69,0.54,0.52,5.55,18.47
29/06/2019,2.48,0.79,4.73,2.20,0.61,0.53,0.55,5.59,17.47
30/06/2019,2.42,0.71,3.52,1.90,0.50,0.49,0.45,4.75,14.72
01/07/2019,2.50,0.79,4.57,2.40,0.69,0.53,0.57,5.67,17.72
02/07/2019,2.51,0.80,5.27,2.66,0.69,0.53,0.58,5.75,18.78
03/07/2019,2.51,0.72,5.35,2.68,0.69,0.53,0.58,6.07,19.13
04/07/2019,2.51,0.79,5.36,2.68,0.69,0.53,0.58,6.04,19.19
05/07/2019,2.55,0.79,5.26,2.57,0.69,0.54,0.52,5.55,18.47
06/07/2019,2.48,0.79,4.73,2.20,0.61,0.53,0.55,5.59,17.47
07/07/2019,2.42,0.71,3.52,1.90,0.50,0.49,0.45,4.75,14.72
08/07/2019,2.50,0.79,4.57,2.40,0.69,0.53,0.57,5.67,17.72
09/07/2019,2.51,0.80,5.27,2.66,0.69,0.53,0.58,5.75,18.78
10/07/2019,2.51,0.72,5.35,2.68,0.69,0.53,0.58,6.07,19.13
11/07/2019,2.51,0.79,5.36,2.68,0.69,0.53,0.58,6.04,19.19
12/07/2019,2.55,0.79,5.26,2.57,0.69,0.54,0.52,5.55,18.47
13/07/2019,2.48,0.79,4.73,2.20,0.61,0.53,0.55,5.59,17.47
14/07/2019,2.42,0.71,3.52,1.90,0.50,0.49,0.45,4.75,14.72
15/07/2019,2.50,0.79,4.57,2.40,0.69,0.53,0.57,5.67,17.72
